alphabetical_order,working,filename,full_path,duration_seconds,duration_hours,frame_count,fps,width,height,size,size_bytes,aspect_ratio_fraction,aspect_ratio,accumulated_duration_seconds,accumulated_duration_hours,accumulated_frame_count,accumulated_size,accumulated_size_bytes
0,True,1 hour video 1.mp4,/home/jolitp/Projects/automation_scripts/src/separate_videos_12_hours/videos/1 hour video 1.mp4,3623.3999999999996,01:00:23,36235,10,1920,1080,102314924,97.6 MB,16:9,1.7777777777777777,3623.3999999999996,01:00:23,36235,102314924,97.6 MB
1,True,1 hour video 2.mp4,/home/jolitp/Projects/automation_scripts/src/separate_videos_12_hours/videos/1 hour video 2.mp4,3623.3999999999996,01:00:23,36235,10,1920,1080,102314924,97.6 MB,16:9,1.7777777777777777,7246.799999999999,02:00:46,72470,204629848,195.2 MB
2,True,1 hour video 3.mp4,/home/jolitp/Projects/automation_scripts/src/separate_videos_12_hours/videos/1 hour video 3.mp4,3623.3999999999996,01:00:23,36235,10,1920,1080,102314924,97.6 MB,16:9,1.7777777777777777,10870.199999999999,03:01:10,108705,306944772,292.7 MB
3,True,1 hour video 4.mp4,/home/jolitp/Projects/automation_scripts/src/separate_videos_12_hours/videos/1 hour video 4.mp4,3623.3999999999996,01:00:23,36235,10,1920,1080,102314924,97.6 MB,16:9,1.7777777777777777,14493.599999999999,04:01:33,144940,409259696,390.3 MB
4,True,1 hour video 5.mp4,/home/jolitp/Projects/automation_scripts/src/separate_videos_12_hours/videos/1 hour video 5.mp4,3623.3999999999996,01:00:23,36235,10,1920,1080,102314924,97.6 MB,16:9,1.7777777777777777,18117.0,05:01:57,181175,511574620,487.9 MB
5,True,1 hour video 6.mp4,/home/jolitp/Projects/automation_scripts/src/separate_videos_12_hours/videos/1 hour video 6.mp4,3623.3999999999996,01:00:23,36235,10,1920,1080,102314924,97.6 MB,16:9,1.7777777777777777,21740.4,06:02:20,217410,613889544,585.5 MB
6,True,1 hour video 7.mp4,/home/jolitp/Projects/automation_scripts/src/separate_videos_12_hours/videos/1 hour video 7.mp4,3623.3999999999996,01:00:23,36235,10,1920,1080,102314924,97.6 MB,16:9,1.7777777777777777,25363.800000000003,07:02:43,253645,716204468,683.0 MB
7,True,1 hour video 8.mp4,/home/jolitp/Projects/automation_scripts/src/separate_videos_12_hours/videos/1 hour video 8.mp4,3623.3999999999996,01:00:23,36235,10,1920,1080,102314924,97.6 MB,16:9,1.7777777777777777,28987.200000000004,08:03:07,289880,818519392,780.6 MB
8,True,1 hour video 9.mp4,/home/jolitp/Projects/automation_scripts/src/separate_videos_12_hours/videos/1 hour video 9.mp4,3623.3999999999996,01:00:23,36235,10,1920,1080,102314924,97.6 MB,16:9,1.7777777777777777,32610.600000000006,09:03:30,326115,920834316,878.2 MB
9,True,1 hour video 10.mp4,/home/jolitp/Projects/automation_scripts/src/separate_videos_12_hours/videos/1 hour video 10.mp4,3623.3999999999996,01:00:23,36235,10,1920,1080,102314924,97.6 MB,16:9,1.7777777777777777,36234.00000000001,10:03:54,362350,1023149240,975.8 MB
10,True,1 hour video 11.mp4,/home/jolitp/Projects/automation_scripts/src/separate_videos_12_hours/videos/1 hour video 11.mp4,3623.3999999999996,01:00:23,36235,10,1920,1080,102314924,97.6 MB,16:9,1.7777777777777777,39857.40000000001,11:04:17,398585,1125464164,1.0 GB
11,True,1 hour video 12.mp4,/home/jolitp/Projects/automation_scripts/src/separate_videos_12_hours/videos/1 hour video 12.mp4,3623.3999999999996,01:00:23,36235,10,1920,1080,102314924,97.6 MB,16:9,1.7777777777777777,43480.80000000001,12:04:40,434820,1227779088,1.1 GB
12,True,1 hour video 13.mp4,/home/jolitp/Projects/automation_scripts/src/separate_videos_12_hours/videos/1 hour video 13.mp4,3623.3999999999996,01:00:23,36235,10,1920,1080,102314924,97.6 MB,16:9,1.7777777777777777,47104.20000000001,13:05:04,471055,1330094012,1.2 GB
13,True,1 hour video 14.mp4,/home/jolitp/Projects/automation_scripts/src/separate_videos_12_hours/videos/1 hour video 14.mp4,3623.3999999999996,01:00:23,36235,10,1920,1080,102314924,97.6 MB,16:9,1.7777777777777777,50727.60000000001,14:05:27,507290,1432408936,1.3 GB
14,True,1 hour video 15.mp4,/home/jolitp/Projects/automation_scripts/src/separate_videos_12_hours/videos/1 hour video 15.mp4,3623.3999999999996,01:00:23,36235,10,1920,1080,102314924,97.6 MB,16:9,1.7777777777777777,54351.000000000015,15:05:51,543525,1534723860,1.4 GB
15,True,1 hour video 16.mp4,/home/jolitp/Projects/automation_scripts/src/separate_videos_12_hours/videos/1 hour video 16.mp4,3623.3999999999996,01:00:23,36235,10,1920,1080,102314924,97.6 MB,16:9,1.7777777777777777,57974.400000000016,16:06:14,579760,1637038784,1.5 GB
